Comment,Designator,Footprint,LCSC Part #,类型/备注
0.1uF,"C1,C4,C10,C12,C14,C15",0603,C14663,SMD
100nF,C9,0603,C14663,SMD
10k,"R8,R11,R12,R13,R14,R15,R16,R17",0603,C25804,SMD
1k,R10,0603,C21190,SMD
2k,"R2,R3,R4",0603,C22975,SMD
300,R1,0603,C23025,SMD
4.7k,"R18,R19",0603,C23162,SMD
5.1k,"R5,R6",0603,C23186,SMD
82k,R7,0603,C23254,SMD
1.5A,F1,0805,C207025,SMD
10uF,"C5,C6,C11,C13",0805,C15850,SMD
22uF,"C2,C3,C7",0805,C45783,SMD
LED 红 0805,"D1,D2,D3",0805,C84256,SMD｜极性/旋转核对
0.05,R9,1206,C375525,SMD
470uF,C8,CP_8x10.5,C4747956,SMD｜极性/旋转核对
IP5306 (I2C版),U2,ESOP-8,C488349,SMD｜极性/旋转核对
2.2uH,L1,Inductor_6.3x6.3,C2047296,SMD
4.7uH,L2,Inductor_6.3x6.3,C703091,SMD
,J1,JST-PH 2P,C131337,THT 插件
,J8,JST-SH 4P,C495539,SMD
QMI8658A,U6,LGA-14,C3021082,SMD｜极性/旋转核对
SS34,"D4,D5",SMA(DO-214AC),C908680,SMD｜极性/旋转核对
DW01A,U1,SOT-23-6,C351410,SMD｜极性/旋转核对
FS8205A,Q1,SOT-23-6,C908265,SMD｜极性/旋转核对
MT3608,U3,SOT-23-6,C84817,SMD｜极性/旋转核对
TB6612FNG,"U4,U5",SSOP-24,C141517,SMD｜极性/旋转核对
,J2,USB-C_SMD-TYPE-C-31-M-12_1,C165948,SMD｜极性/旋转核对
轻触开关 TS-1088 2P,SW1,轻触开关,C720477,SMD
,"J5,J6,J7",排针 1x06 2.54,,THT 插件
,"J3,J4",母座 1x20 2.54,,THT 插件
